sequential_id,osm_id
1509,60723690
1510,60723691
1511,60723692
1512,60723693
1513,60723694
1514,60723696
1515,60723697
1516,60723732
1517,60723733
1518,60723876
1519,60723895
1520,60723897
1521,60723908
1522,60723909
1523,60723918
1524,60723919
1525,60724093
1526,60724094
1527,60979972
1528,60979973
1529,60979986
1530,60979991
1531,60979994
1532,60980004
1533,60980008
1534,60980010
1535,60980013
1536,60980017
1537,60980018
1538,60980022
1539,60980028
1540,60980030
1541,60980031
1542,60980032
1543,60980035
1544,61090316
1545,61090317
1546,61090318
1547,61090319
1548,61090323
1549,61090324
1550,61090326
1551,61090327
1552,61090328
1553,61090332
1554,61090334
1555,61090337
1556,61090338
1557,61090339
1558,61090340
1559,61090341
1560,61090345
1561,61090346
1562,61090349
1563,61090351
1564,61091504
1565,61091666
1566,61091672
1567,61091675
1568,61091678
1569,61092089
1570,61092097
1571,61652316
1572,61679340
1573,61681766
1574,61681820
1575,61681824
1576,61681947
1577,61681948
1578,61681950
1579,61681951
1580,61681960
1581,61682000
1582,61682006
1583,61682043
1584,61682044
1585,61682049
1586,61682106
1587,61682107
1588,61682108
1589,61682145
1590,61682147
1591,61682148
1592,61682151
1593,61682187
1594,61682188
1595,61682233
1596,61682234
1597,61682283
1598,61682284
1599,61682286
1600,61682331
1601,61682336
1602,61682366
1603,61682375
1604,61682377
1605,61682383
1606,61682426
1607,61717978
1608,61718007
1609,61718024
1610,61718112
1611,61718113
1612,61718114
1613,61718115
1614,61718116
1615,61718265
1616,61718266
1617,61718268
1618,61718270
1619,61718271
1620,61718272
1621,61718279
1622,61718286
1623,61718318
1624,61718328
1625,61718350
1626,61718353
1627,61718375
1628,61718376
1629,61718383
1630,61718413
1631,61718415
1632,61718446
1633,61718447
1634,61719036
1635,67734027
1636,67734564
1637,67737112
1638,67737479
1639,67737481
1640,67737566
1641,67737935
1642,67738325
1643,67738899
1644,67738943
1645,67739053
1646,67739803
1647,67739973
1648,67740033
1649,67740463
1650,67740498
1651,67740959
1652,67780236
1653,67780290
1654,67815697
1655,67815772
1656,72670651
1657,72671422
1658,72673632
1659,72685187
1660,72686818
1661,72686822
1662,72686823
1663,72686835
1664,72686847
1665,72686853
1666,72687585
1667,72687619
1668,72965559
1669,72966539
1670,72966545
1671,72966553
1672,72966554
1673,72967441
1674,72967447
1675,72967449
1676,72967459
1677,72967462
1678,72967952
1679,72967954
1680,72967957
1681,72967958
1682,72968984
1683,72969715
1684,72969716
1685,72969718
1686,72969719
1687,72969720
1688,72969721
1689,72969722
1690,72969724
1691,72969725
1692,72969727
1693,72969729
1694,72970395
1695,72970398
1696,72970844
1697,72970847
1698,72970848
1699,72971345
1700,72971347
1701,72972428
1702,72972429
1703,72972430
1704,72972546
1705,72972772
1706,72973397
1707,72973555
1708,72973698
1709,72973925
1710,72974145
1711,72974544
1712,72975208
1713,72975210
1714,72975214
1715,72979942
1716,72979943
1717,72979964
1718,72980417
1719,72980418
1720,72980421
1721,72980422
1722,72980423
1723,72980426
1724,72980428
1725,72980726
1726,72980727
1727,72980795
1728,72982804
1729,72982898
1730,72983202
1731,72983711
1732,72983713
1733,72983835
1734,72983836
1735,72984024
1736,72984258
1737,72984477
1738,72984479
1739,72984646
1740,72984647
1741,72984772
1742,72984774
1743,72984949
1744,72985108
1745,72986061
1746,72987517
1747,72987524
1748,72998151
1749,73023991
1750,73024875
1751,73024877
1752,73024878
1753,73024879
1754,73024881
1755,73026125
1756,73026128
1757,73026139
1758,73026140
1759,73026141
1760,73026146
1761,73026155
1762,73026572
1763,73026619
1764,73027070
1765,73027071
1766,73027324
1767,73027325
1768,73027671
1769,73027675
1770,73028544
1771,73028788
1772,73028916
1773,73029063
1774,78038857
1775,78040027
1776,78040364
1777,78040980
1778,78041136
1779,79634401
1780,79634403
1781,79634404
1782,79634406
1783,79634408
1784,79634705
1785,79635406
1786,79635407
1787,79635408
1788,79635409
1789,79635410
1790,79635411
1791,79636620
1792,79636658
1793,79636659
1794,79636699
1795,79636933
1796,79636934
1797,79637363
1798,79637563
1799,79637565
1800,84508147
1801,84508244
1802,84509345
1803,84509474
1804,84509606
1805,84509786
1806,84509871
1807,84509990
1808,84510076
1809,84510995
1810,84511139
1811,84511144
1812,87633750
1813,87633924
1814,87633932
1815,87634035
1816,87634036
1817,87634037
1818,87634165
1819,87634168
1820,87634269
1821,87634377
1822,87634378
1823,87634380
1824,87634796
1825,87634875
1826,87634876
1827,87634974
1828,87634975
1829,87635048
1830,87635122
1831,87635123
1832,87635239
1833,87635240
1834,87635244
1835,87635265
1836,87635289
1837,87635316
1838,87635423
1839,87635456
1840,87635544
1841,87637668
1842,87637724
1843,87637726
1844,87638041
1845,87638268
1846,87638273
1847,87638320
1848,87638459
1849,87638461
1850,87638462
1851,87638700
1852,87638701
1853,87638703
1854,87638705
1855,87638816
1856,88763677
1857,88763678
1858,88766249
1859,88772903
1860,88783440
1861,88783997
1862,88784053
1863,88784284
1864,88787349
1865,88787590
1866,88787778
1867,88787928
1868,88788111
1869,88788119
1870,88788228
1871,88788259
1872,88788298
1873,88788299
1874,88791985
1875,90027566
1876,90027595
1877,92149654
1878,92149658
1879,92149661
1880,92149667
1881,92149671
1882,92149676
1883,92149726
1884,92149729
